Title,Article,Summary,Statement,True statement
Yön Polte,"Yön Polte is a Finnish musical trio originating from Finland established in 2012 and made up of Finnish rapper Kuningas Pähkinä, rapper and producer Setä Tamu, and singer/rapper Stig (aka Stig Dogg).Yön Polte found chart success through their single ""Tyttö sinä olet meritähti"" that reached #7 in the Finnish Singles Chart in May 2012.


== Discography ==


=== Singles ===


== References ==


== External links ==
Yön Polte Facebook page","Yön Polte is a Finnish musical trio originating from Finland established in 2012 and made up of Finnish rapper Kuningas Pähkinä, rapper and producer Setä Tamu, and singer/rapper Stig (aka Stig Dogg).Yön Polte found chart success through their single ""Tyttö sinä olet meritähti"" that reached #7 in the Finnish Singles Chart in May 2012.


",Yön Polte is a Chinese musical trio originating from China established in 2012 and made up,0
Armed Forces for a Federal Republic,"Armed Forces for a Federal Republic (FARF) were a rebel group in Chad in the 1990s.


== References ==","Armed Forces for a Federal Republic (FARF) were a rebel group in Chad in the 1990s.


 == References ==",The FARF were an agricultural cooperative in Chad in the 1990s.,0
Bythopsyrna circulata,"Bythopsyrna circulata is a species of Asian planthoppers belonging to the family Flatidae.


== Description ==
Bythopsyrna circulata can reach a length of 20–24 millimetres (0.79–0.94 in). Head, pronotum and mesonotum show black spots. Wings have quite variable brown crescents, loops and bands. There is a usually intact longitudinal dark brown band along vein R of tegmen. Basal cell is brown or black. Marking patterns may be obscured by melanism and clear areas may show orange colour. The ovipositor is primitive and adapted for piercing.


== Biology and behavior ==
Bythopsyrna circulata has five larval stages and the winged adult hatched from the fifth.This species, when stimulated by ants, produces large quantities of honeydew.


== Distribution ==
This species can be found in the subtropical and tropical forests of China, Malaysia, Thailand, Sumatra and Java.


== Bibliography ==
Medler J. T. (1999) Flatidae (Homoptera: Fulgoroidea) of Indonesia, exclusive of Irian Jaya, Zoologische Verhandelingen (Leiden), 324: 1-88.
Schmidt E. (1909) Zwei neue Fulgoriden aus dem Stettiner Museum, Entomologische Zeitung. Herausgegeben von dem entomologischen Vereine zu Stettin. Stettin, 70: 187-192.
Schmidt E. (1904) Beitrag zur Kenntnis der Flatiden von Sumatra., Entomologische Zeitung. Herausgegeben von dem entomologischen Vereine zu Stettin. Stettin, 65: 182-212.
Schmidt E. (1904) Neue und bemerkenswerthe Flatiden des Stettiner Museums, Entomologische Zeitung. Herausgegeben von dem entomologischen Vereine zu Stettin. Stettin, 65: 354-381.
Metcalf Z. P. (1957) Part 13. Flatidae and Hypochthonellidae, In: Metcalf Z. P. 1954 - General Catalogue of the Homoptera. Fascicule IV, North Carolina State College, Raleigh(United States of America). p. 1-565.
Stål C. (1862) Synonymiska och systematiska anteckningar öfver Hemiptera, Ofversigt af Kongliga Svenska Vetenskaps-Akademiens Förhandlingar. Stockholm, 19: 479-504.
White A. (1845) Descriptions of a new genus and some new species of Homopterous Insects from the East in the collection of the British Museum, Annals and Magazine of Natural History. London, 15: 34-37.
Guérin-Méneville F. E. (1844) Insectes, In: Cuvier G. L. C. F. D. 1844 - Iconographie du règne animal, 1844. p. 355-370.
FLOW: Fulgoromorpha Lists On the WEB. Bourgoin T.


== References ==


== External links ==
Macroid","Bythopsyrna circulata is a species of Asian planthoppers belonging to the family Flatidae.


 == Description ==
Bythopsyrna circulata can reach a length of 20–24 millimetres (0.79–0.94 in). Head, pronotum and mesonotum show black spots. Wings have quite variable brown crescents, loops and bands. There is a usually intact longitudinal dark brown band along vein R of tegmen.",Bythopsyrna circulata can reach a length of 100 millimetres.,0
USS Brontes,"USS Brontes was a Portunus-Class Motor Torpedo Boat Tender in service with the United States Navy during World War II.


== Ship history ==
Brontes, although reclassified AGP-17, 14 August 1944, was launched 6 February 1945 as LST-1125 by Chicago Bridge and Iron Co., Seneca, Ill.; sponsored by Mrs. June Elizabeth Reimer; and placed in reduced commission 17 February 1945; placed out of commission 10 March 1945; underwent conversion to a motor torpedo boat tender; and recommissioned as Brontes (AGP-17) 14 August 1945.
On 26 September 1945, Brontes got underway for New Orleans, where she arrived 3 October. At New Orleans she participated in the Navy Day activities and then remained to service torpedo boats. In December 1945 she sailed to Washington, D. C., to participate in the ""parade of torpedo boats"" held in conjunction with a Victory Bond drive. On 20 December 1945, she departed Washington for New York and pre inactivation overhaul. Brontes was decommissioned 14 March 1946 and struck from the Naval Register on 17 April 1946.


=== Merchant service ===
Following being struck from the Naval Register, she was sold for merchant service on 28 March 1947 and renamed M/V GP-17. Later that year, she was renamed M/V Barbara. In 1948, she was resold to Mineral Transport Corporation in Liberia, renamed M/V Diane, and reflagged Liberian. After 8 years of service to the Mineral Transport Corp., she was resold in 1956 to Transportes Marimes, and reflagged Mexican as M/V Xalapa. She would serve another 3 years.


=== Ship's fate ===
On 27 October 1959, while in Manzanillo, Mexico, the 1959 Mexico Hurricane swept through, driving her aground. She was declared a total constructive loss.


== Ship awards ==
American Campaign Medal
World War II Victory Medal


== External links ==
[1]
[2]
[3]","USS Brontes was a Portunus-Class Motor Torpedo Boat Tender in service with the United States Navy during World War II.


",USS Brontes was a submarine in service during World War II.,0
Kathy Stein,"Kathy Stein (born 1955) is an attorney, former member of the Kentucky General Assembly and retired circuit clerk judge. She served in the Kentucky House of Representatives from 1997 to 2009 before being elected to represent the 13th Kentucky Senate district in 2009, serving until 2013 when she was appointed to the Kentucky 22nd Circuit Court 6th Division by Kentucky Governor Steve Beshear.
Stein was a member of the Women's Political Caucus, the Criminal Justice Council, and the Governor's Council on Domestic Violence and Sexual Abuse. During her time in the Kentucky General Assembly, she became known as a ""progressive crusader"" who supported women's rights and LGBTQ rights.


== Personal life and education ==
Stein was born in Birmingham, Alabama, in 1955. She attended Clinch Valley College of the University of Virginia, now known as University of Virginia's College at Wise, to receive her Bachelor of Arts in 1974. The year after her graduation, she worked as the town of Wise, Virginia's treasurer and clerk. She completed some studies at Virginia Tech, and she earned her Juris Doctor from the University of Kentucky College of Law in 1983. She is a retired family judge for Fayette County, Kentucky.


== References ==

https://www.richmondregister.com/news/judge-suspended-again-for-actions-in-child-custody-case/article_16b81f46-0f2e-11e7-846d-8b80947699b3.html
https://www.kentucky.com/news/local/counties/fayette-county/article244879122.html
https://www.wkyt.com/content/news/Fayette-County-judge-suspended-for-a-week-for-misconduct-393145171.html","Kathy Stein (born 1955) is an attorney, former member of the Kentucky General Assembly and retired circuit clerk judge. She served in the Kentucky House of Representatives from 1997 to 2009 before being elected to represent the 13th Kentucky Senate district in 2009, serving until 2013 when she was appointed to the Kentucky 22nd Circuit Court 6th Division by Kentucky Governor Steve Beshear.
",Kathy Stein was never a member of the Kentucky General Assembly.,0
Fabrizio Garattoni,"Fabrizio (Fabrice) Garattoni is an Italian former competitive figure skater. After competing for France early in his career, he switched to Italy in 1992 and became a four-time national champion from 1993 to 1996. He competed in several European and World Championships.


== Results ==


== References ==
skatabase","Fabrizio (Fabrice) Garattoni is an Italian former competitive figure skater. After competing for France early in his career, he switched to Italy in 1992 and became a four-time national champion from 1993 to 1996. He competed in several European and World Championships.


 == Results ==


== References ==
skatabase",Fabrizio Garattoni is a professional ballet dancer.,0
Robert K. Montoye,"Robert K. (Bob) Montoye is a senior computer scientist at the IBM T. J. Watson Research Center in Yorktown Heights, New York.


== Biography ==
Montoye's area of expertise is computer architecture, hardware and semiconductor chip design. In 2014, along with fellow IBM researchers Jing Li, Masatoshi Ishii and Leland Chang, he demonstrated a design of Ternary content-addressable memory (TCAM) using 2-transistor/2-resistive-storage that has more than ten times smaller cell size than SRAM based TCAM at the same technology node.


== References ==


== External links ==
IBM Research Webpage of Robert K. Montoye.","Robert K. (Bob) Montoye is a senior computer scientist at the IBM T. J. Watson Research Center in Yorktown Heights, New York.


 == Biography ==
Montoye's area of expertise is computer architecture, hardware and semiconductor chip design.",Robert K. Montoye is a junior computer scientist.,0
1980 Australian Open – Women's singles qualifying,"This article displays the qualifying draw for women's singles at the 1980 Australian Open.


== Seeds ==


== Qualifiers ==


== Qualifying draw ==


=== Key ===


=== First qualifier ===


=== Second qualifier ===


=== Third qualifier ===


=== Fourth qualifier ===


=== Fifth qualifier ===


=== Sixth qualifier ===


=== Seventh qualifier ===


=== Eighth qualifier ===


== External links ==
1980 Australian Open – Women's draws and results at the International Tennis Federation","This article displays the qualifying draw for women's singles at the 1980 Australian Open.


 == Seeds ==


== Qualifiers ==


== Qualifying draw ==


=== Key ===


=== First qualifier ===


=== Second qualifier ===


=== Third qualifier ===


=== Fourth qualifier ===


=== Fifth qualifier ===


=== Sixth qualifier ===


=== Seventh qualifier ===


=== Eighth qualifier ===


== External links ==
1980 Australian Open – Women's draws and results at the International Tennis Federation",This article displays the qualifying draw for men's singles at the 1980 Australian Open.,0
Harold B. Robinson,"Harold Barrett Robinson (June 14, 1922 - May 5, 1994) was bishop of the Episcopal Diocese of Western New York from 1970 to 1988, and served as an assisting bishop in the Episcopal Diocese of New York from 1989 to 1993.


== Biography ==
Robinson was born in 1922 in Nelson, Lancashire, England. he came to the United States as an infant United States and grew up in Los Angeles. He became an American citizen in 1945. In 1943, he graduated with a Bachelor of Arts from the University of California in 1946 from the General Theological Seminary.
He was ordained deacon in June 1946 and served as assistant in St Paul's Church in San Diego, California. He was ordained priest on December 16, 1946, by Bishop W. Bertrand Stevens of Los Angeles in St Paul's Church. He then served as rector of the same church St Paul's Church in San Diego until 1962 when he became Dean of St Paul's Cathedral in Buffalo, New York.
In October 1967, Robinson was elected Coadjutor Bishop of Western New York and was consecrated on February 24, 1968, in St Joseph's Cathedral, the Roman Catholic cathedral of Buffalo. He succeeded as diocesan bishop in June 1970. On June 4, 1977, he ordained the first three female priests of the diocese, the Reverends Judith Burrows, Sarah Reith and Patricia Bird. He also helped incorporate the new revised 1979 prayer book which was used throughout the whole diocese by 1987. He retired as Bishop of Western New York in 1988 and served as Assisting Bishop of New York from 1989 to 1993. He died due to Leukemia on May 5, 1994, at the Overlook Hospital in Summit, New Jersey. He was survived by his wife Marie and four daughters.


== References ==
New York Times Obituary","Harold Barrett Robinson (June 14, 1922 - May 5, 1994) was bishop of the Episcopal Diocese of Western New York from 1970 to 1988, and served as an assisting bishop in the Episcopal Diocese of New York from 1989 to 1993.


 == Biography ==
Robinson was born in 1922 in Nelson, Lancashire, England.","Harold Barrett Robinson was born in 1922 in Boston, Massachusetts.",0
Greenlandic independence,"Greenlandic independence (Danish: Grønlandsk uafhængighed, Greenlandic: Namminersulivinneq) is a political ambition of some political parties (such as Siumut, Inuit Ataqatigiit, Partii Naleraq, and Nunatta Qitornai), advocacy groups, and individuals of Greenland, an autonomous territory within the Kingdom of Denmark, to become an independent sovereign state.


== Background ==


=== Norse and Inuit colonization ===
Greenland's present population are predominantly Inuit descended from the Thule people who migrated from the North American mainland in the 13th century AD, gradually colonizing the island. The Danish claim to the island stems from Norse settlement of southern Greenland which lasted from the 980s until the early 15th century.
Scholars believe that the earliest known Norse settlements in Greenland originated from Iceland, and that Erik the Red founded an early colony in 985.  The Kingdom of Norway later claimed and controlled Greenland singularly from roughly 1261–1319.These Norse settlements vanished during the 14th and early 15th centuries, with the Inuit being the sole occupants of the island, expanding to the southern and western coasts, and being de facto independent for over 200 years until Europeans peoples returned. Despite this, a de jure continuing European possession of Greenland was assumed by European peoples.


=== European resettlement in the 18th–20th centuries ===
European contact with Greenland was not re-established until 1721 with the mission of Hans Egede, which was followed by the Moravian missions. These established enduring settlements and—after failing to find the Norse peoples—attempted to Christianize the Inuit.
By this time Norway and Denmark had been unified under Denmark–Norway which considered Greenland part of its territory. This ended on 14 January 1814 after Norway was ceded from Denmark as a result of the Napoleonic Wars in Europe. As a result of the Treaty of Kiel, Denmark resumed full sovereignty over Greenland soon after. From 1814 to 1953, Greenland was a territory, not independent and not part of Denmark, but directly controlled by the Danish government.


=== American protectorate and occupation ===
During the Second World War, Denmark was occupied and controlled by Nazi Germany between 1940 and 1945. As a result, the Danish and US governments signed an agreement to hand over defense and control of Greenland to the United States on 9 April 1941. 
(The Danish government was represented by the Danish ambassador to the US, as the US did not recognize the Nazi government of Denmark). The first troops arrived in Greenland on 7 July 1941. The US built two airports with full-length runways, which as of 2018 still are the main international airports of Greenland; however, they are located far away from any traditional settlement.
Greenland was effectively independent during these years and allowed the United States to build bases on its territory, in spite of the Danish pre-war neutrality. After the war the pre-war situation was restored, the US bases remained and Denmark, with Greenland as a part of the Kingdom, joined NATO.


== Moves towards independence ==
In 1953 a new Danish Constitution incorporated Greenland into Denmark, the island thereby gained representation in the Danish Parliament and was recognized as a Danish province known as the County of Greenland.In 1972, at the request of the Provincial Council, Knud Hertling established a committee of Greenlandic members to study the possibility of increased local power. In 1975, the committee recommended a shift to home rule as quickly as possible. Hertling responded with the creation of a Commission on Home Rule in Greenland with 14 members divided evenly between Greenlandic and Danish representatives. The commission's work submitted its final report in June 1978 with proposals for a Home Rule Act.In 1979 the Danish government granted Greenland home rule, with Denmark keeping control of a number of areas including foreign relations, defense, currency matters and the legal system in Greenland.Greenland's minimal representation in the Danish Folketing meant that, although over 70% of Greenlanders had opposed entry into the European Common Market (EEC), it nevertheless joined in 1973 as part of Denmark. Greenlanders' fears that the customs union would allow foreign firms to compete and overfish its waters were quickly realized. After home rule was secured, a bare majority (53%) of Greenland's population voted on 23 February 1982 to leave the EEC, a process which lasted until 1985. This resulted in the Greenland Treaty of 1985.In 2008 Greenland's citizens approved the Greenlandic self-government referendum with a 75% vote in favor of a higher degree of autonomy. Greenland took control of law enforcement, the coast guard, and the legal system. The official language changed from Danish to Greenlandic on 21 June 2009, Greenland national day. The act gives control of foreign relations of Greenland to the island in trade and other areas it is responsible for. Greenland has representatives in Copenhagen, Brussels, Reykjavik, and Washington, D.C.As part of the self-rule law of 2009 (section §21), Greenland can declare full independence if they wish to pursue it, but it would have to be approved by a referendum among the Greenlandic people. A poll in 2016 showed that there was a clear majority (64%) for full independence among the Greenlandic people, but a poll in 2017 showed that there was a clear opposition (78%) if it meant a fall in living standards.Greenland's former prime minister, Kuupik Kleist, has repeatedly expressed the need to diversify Greenland's economy, which mainly relies on fishery, tourism and a substantial annual block grant from the Danish state. The block grant equals about two-thirds of Greenland's government budget or about one-quarter of the entire GDP of Greenland. Economic stability is seen as a basis for full political independence from Denmark. When Kim Kielsen was reelected  with a strong majority as the leader of the largest Greenlandic pro-independence party Siumut in 2017, observers considered it a win for the ""slow-independence"" faction instead of the ""now-independence"" faction. (His opponent, Vittus Qujaukitsoq, had argued for independence even if it meant losing the large annual block grant from the Danish state.) During a debate in the Danish Parliament (which also includes members from Greenland) in 2018, Danish Prime Minister Lars Løkke said that Greenland needs to make it clear if they wish to remain a part of the Kingdom or become independent. If Greenland were to become an independent country, the annual block grant from Denmark to Greenland would cease.In 2008, independence campaigners touted the year 2021 (the 300th anniversary of Danish colonial rule) as a date for potential independence.In 2023, a commission tasked with drafting a constitution for an independent Greenland presented its proposal.


== Polling ==
A poll in 2016 showed that there was a clear majority (64%) for full independence among the Greenlandic people.A 2019 poll showed that 67.8% of Greenlanders support independence from Denmark sometime in the next two decades.


== In fiction ==
The issue of Greenlandic independence features heavily in the eighth-episode of the Swedish–Icelandic television series Thin Ice (2019–2020). Written by Søren Stærmose and Lena Endre, it was predominately filmed in Greenland at the height of the Greenlandic winter. By the end of the first season, Greenland achieves independence, with covert backing from the United States. The political system of the newly independent Greenland is not given, although the country is shown to have awarded an unnamed American oil company offshore drilling rights to a large deep sea oil deposit.


== See also ==
History of Greenland
1979 Greenlandic home rule referendum
Faroese independence movement
Icelandic independence movement
Norwegian independence movement


== References ==","Greenlandic independence (Danish: Grønlandsk uafhængighed, Greenlandic: Namminersulivinneq) is a political ambition of some political parties (such as Siumut, Inuit Ataqatigiit, Partii Naleraq, and Nunatta Qitornai), advocacy groups, and individuals of Greenland, an autonomous territory within the Kingdom of Denmark, to become an independent sovereign state.


",Greenlandic independence is not a political ambition.,0
