Title,Article,Summary,Statement,True statement
USS SC-40,"USS SC-40, until July 1920 known as USS Submarine Chaser No. 40 or USS S.C. 40, was an SC-1-class submarine chaser built for the United States Navy during World War I.
SC-40 was a wooden-hulled 110-foot (34 m) submarine chaser built at the New York Navy Yard at Brooklyn, New York. She was commissioned on 13 February 1918 as USS Submarine Chaser No. 40, abbreviated at the time as USS S.C. 40.

In 1919, Submarine Chaser No. 40 participated in North Sea minesweeping operations to clear the North Sea Mine Barrage after World War I.
When the U.S. Navy adopted its modern hull number system on 17 July 1920, Submarine Chaser No. 40 was classified as SC-40 and her name was shortened to USS SC-40.
On 14 October 1924, the Navy sold SC-40 to the Florida Boat Company of Washington, D.C.


== References ==
This article incorporates text from the public domain Dictionary of American Naval Fighting Ships. The entry can be found here.
NavSource Online: Submarine Chaser Photo Archive: SC-40
The Subchaser Archives: The History of U.S. Submarine Chasers in the Great War Hull number: SC-40
Woofenden, Todd A. Hunters of the Steel Sharks: The Submarine Chasers of World War I. Bowdoinham, Maine: Signal Light Books, 2006. ISBN 978-0-9789192-0-7.","USS SC-40, until July 1920 known as USS Submarine Chaser No. 40 or USS S.C. 40, was an SC-1-class submarine chaser built for the United States Navy during World War I.
SC-40 was a wooden-hulled 110-foot (34 m) submarine chaser built at the New York Navy Yard at Brooklyn, New York.",USS SC-40 was a wooden-hulled submarine chaser.,1
Valentina Zenere,"Valentina Zenere  (born 15 January 1997) is an Argentine actress, model and singer known for her portrayal of Ámbar Smith in the Disney Channel series Soy Luna and Juacas, as well as for her portrayal of Alai Inchausti in the Argentine telenovela Casi Ángeles. Since 2022, she plays Isadora Artiñán on the Netflix series Elite.


== Life and career ==
Zenere started working on television in various advertisements at a young age while also attending high school, which she graduated from in 2014.
In 2010, she was added to the main cast of the successful telenovela Casi Ángeles, landing the role of Alai Inchausti. Afterwards, she took various small roles on theatre and television. Most notable was her appearance in a musical production of Les Misérables.In 2016, Zenere received international attention when the Disney Channel original series Soy Luna aired. Her portrayal of the antagonist Ámbar Smith received critical as well as public acclaim. She reprised her role as Ámbar in the Brazilian Disney Channel series Juacas. She maintains close relationships to many of her co-stars, including Eugenia Suárez, Michael Ronda, Carolina Kopelioff, Gastón Vietto, Malena Ratner, and Oriana Sabatini.
In 2019, Zenere protagonized Michael Ronda's music video La Diva de la Escuela.She was cast as a main character of the fifth season of the successful Spanish Netflix series Cable Girls, airing in 2020. She was launched into international fame for her portrayal of ""Isadora"" in Netflix's critically acclaimed crime show ""Elite"".Zenere currently resides in Madrid, Spain.


== Discography ==


=== Singles ===


=== As lead artist ===


==== Promotional singles ====


=== Guest appearances ===


== Filmography ==
Music videos 

""La Diva de la Escuela"" (2019) - Michael Ronda
""Boa"" (2021) - Carlos Ares
""Cero Coma"" (2022) - Herself
""Dale"" (2023) - Herself


== Awards and nominations ==


== References ==


== External links ==
Valentina Zenere at IMDb
Valentina Zenere on Instagram","Valentina Zenere  (born 15 January 1997) is an Argentine actress, model and singer known for her portrayal of Ámbar Smith in the Disney Channel series Soy Luna and Juacas, as well as for her portrayal of Alai Inchausti in the Argentine telenovela Casi Ángeles. Since 2022, she plays Isadora Artiñán on the Netflix series Elite.


",Valentina Zenere plays Isadora Artiñán on Elite.,1
From M.E. to Myself,"From M.E. to Myself (simplified Chinese: 和自己对话; traditional Chinese: 和自己對話) is the twelfth studio album by Singaporean singer JJ Lin, released on 25 December 2015 by Warner Music Taiwan.The album earned Lin two Golden Melody Awards for Best Mandarin Male Singer and Best Composer for ""Twilight"".


== Track listing ==
All music produced by JJ Lin.


== References ==","From M.E. to Myself (simplified Chinese: 和自己对话; traditional Chinese: 和自己對話) is the twelfth studio album by Singaporean singer JJ Lin, released on 25 December 2015 by Warner Music Taiwan. The album earned Lin two Golden Melody Awards for Best Mandarin Male Singer and Best Composer for ""Twilight"".


 == Track listing ==
All music produced by JJ Lin.


 == References ==",Golden Melody Awards for Best Mandarin Male Singer.,1
Charalampos Papaioannou,"Charalampos Papaioannou (born January 4, 1971) is a Greek judoka.


== Achievements ==


== References ==
Charalampos Papaioannou at JudoInside.com","Charalampos Papaioannou (born January 4, 1971) is a Greek judoka.


 == Achievements ==


== References ==
Charalampos Papaioannou at JudoInside.com",Charalampos Papaioannou is a Greek judoka.,1
"First United Methodist Church (Aberdeen, South Dakota)","Aberdeen First United Methodist Church is a historic church at S. Lincoln Street and SE 5th Avenue in Aberdeen, South Dakota. The church was built during 1904-05 and dedicated November 7, 1909. It was added to the National Register in 1976.The building features a ""dome on pendentives"" with ""an open lantern atop the Terneplate-covered roof.""


== References ==","Aberdeen First United Methodist Church is a historic church at S. Lincoln Street and SE 5th Avenue in Aberdeen, South Dakota. The church was built during 1904-05 and dedicated November 7, 1909. It was added to the National Register in 1976.The building features a ""dome on pendentives"" with ""an open lantern atop the Terneplate-covered roof. ""


== References ==",The church features an open lantern atop the roof.,1
Sarah Kaine,"Sarah Kaine is an Australian politician, academic and trade unionist. She was elected as a Member of the New South Wales Legislative Council at the 2023 state election.


== Career ==
Kaine completed an economics degree with honours at the University of Sydney in 1996 while working at the AWU before going on to become an organiser at the ACTU. She completed a PhD in Industrial Relations at the University of Sydney in 2010 and was an associate professor at the Management Discipline Group at University of Technology Sydney (UTS) for ten years. Her research has focused on organised labour and the role of women in the workplace and the labour movement. She has been a public commentator on workplace issues.Kaine was elected President of the NTEU NSW Division and staff representative on UTS Council. Kaine was Vice-President of the NSW Labor and Chair of NSW ALP Women's Forum. She was a director of the McKell Institute for a decade and is a member of the Arncliffe-Wolli Creek Branch of Labor.In 2020, Kaine became Director of Industrial Relations Compliance in the NSW Department of Premier and Cabinet.At the 2023 New South Wales state election, she was the eighth candidate on NSW Labor's ticket for the Legislative Council and was elected.In October 2023, Kaine signed an open letter which condemned attacks against Israeli and Palestinian civilians during the 2023 Israel–Hamas war.


== Personal life ==
Kaine resides in Bardwell Park. She completed high school at Saint Ursula's College, Kingsgrove in 1992 and had children prior to completing her PhD. Her brother is Michael Kaine, National Secretary of the Transport Workers' Union of Australia.


== References ==","Sarah Kaine is an Australian politician, academic and trade unionist. She was elected as a Member of the New South Wales Legislative Council at the 2023 state election.


 == Career ==
Kaine completed an economics degree with honours at the University of Sydney in 1996 while working at the AWU before going on to become an organiser at the ACTU.",Sarah Kaine completed an economics degree with honours.,1
Catopta hyrcanus,"Catopta hyrcanus is a moth in the family Cossidae. It is found in Iran, Turkmenistan and Iraq.


== References ==

Christoph, H. (1888). ""Diagnosen zu einigen neuen Lepidopteren des palaearctischen Faunengebiets"". Horae Societatis Entomologicae Rossicae, Variis Sermonibus in Rossia Usitatis Editae. 22: 309 – via Biodiversity Heritage Library.
Natural History Museum Lepidoptera generic names catalog","Catopta hyrcanus is a moth in the family Cossidae. It is found in Iran, Turkmenistan and Iraq.


 == References ==

Christoph, H. (1888). ""Diagnosen zu einigen neuen Lepidopteren des palaearctischen Faunengebiets"". Horae Societatis Entomologicae Rossicae, Variis Sermonibus in Rossia Usitatis Editae.","Catopta hyrcanus is found in Iran, Turkmenistan, and Iraq.",1
"St. Bonaventure, New York","St. Bonaventure is a hamlet and census-designated place (CDP) in the town of Allegany in Cattaraugus County, New York, United States. The population was 1,963 at the 2020 census.This community, located between the village of Allegany and the city of Olean, is established around St. Bonaventure University. Since the campus comprises the majority of the CDP, it has a much lower per capita income than most communities in the state, as do the several other CDPs statewide that are drawn around college campuses. St. Bonaventure also has its own on-campus post office and ZIP code (14778), separate from those of Allegany and Olean.


== Geography ==
St. Bonaventure is located at 42°4'49"" North, 78°28'30"" West (42.080297, -78.474904).New York State Route 417 passes through the community, which is immediately north of the Allegheny River and south of the Southern Tier Expressway.
According to the United States Census Bureau, the CDP has a total area of 2.1 square miles (5.5 km2), of which 2.0 square miles (5.1 km2) is land and 0.15 square miles (0.4 km2), or 7.16%, is water.


== Demographics ==


=== 2020 census ===
Note: the US Census treats Hispanic/Latino as an ethnic category. This table excludes Latinos from the racial categories and assigns them to a separate category. Hispanics/Latinos can be of any race.


=== 2000 Census ===
As of the census of 2000, there were 2,127 people, 250 households, and 153 families residing in the community.  The population density was 1,047.9 inhabitants per square mile (404.6/km2).  There were 265 housing units at an average density of 130.6 per square mile (50.4/km2).  The racial makeup of the CDP was 96.47% White, 1.83% African American, 0.33% Native American, 0.61% Asian, 0.33% from other races, and 0.42% from two or more races. Hispanic or Latino of any race were 1.50% of the population.
There were 250 households, out of which 24.0% had children under the age of 18 living with them, 48.4% were married couples living together, 8.8% had a female householder with no husband present, and 38.4% were non-families. 33.2% of all households were made up of individuals, and 18.8% had someone living alone who was 65 years of age or older.  The average household size was 2.19 and the average family size was 2.78. In the area the population was spread out, with 5.1% under the age of 18, 74.6% from 18 to 24, 6.9% from 25 to 44, 7.9% from 45 to 64, and 5.5% who were 65 years of age or older.  The median age was 21 years. For every 100 females, there were 89.6 males.  For every 100 females age 18 and over, there were 88.9 males.
The median income for a household in the community was $38,438, and the median income for a family was $43,542. Males had a median income of $32,292 versus $21,591 for females. The per capita income for the CDP was $7,738.  About 4.8% of families and 9.0% of the population were below the poverty line, including 11.5% of those under age 18 and 7.0% of those age 65 or over.


== References ==","St. Bonaventure is a hamlet and census-designated place (CDP) in the town of Allegany in Cattaraugus County, New York, United States. The population was 1,963 at the 2020 census. This community, located between the village of Allegany and the city of Olean, is established around St. Bonaventure University.",St. Bonaventure is established around St. Bonaventure University.,1
Alexander Rosen,"Alexander Rosen (born 10 April 1979) is a German football executive and former player who is the director of football for TSG 1899 Hoffenheim.


== Playing career ==
Rosen made his Bundesliga debut for Eintracht Frankfurt on 20 February 1999 when he came on as a substitute for Frank Gerster in the 86th minute against TSV 1860 München. While under contract with Frankfurt, Rosen went on loan with FC Augsburg and VfL Osnabrück. After his return to Frankfurt, he played in three more matches in the 2. Bundesliga before leaving for 1. FC Saarbrücken prior to the 2003–04 season. After a short stint with Sportvereinigung Elversberg, he switched to Norwegian club Follo Fotball in December 2005. In Norway, Rosen also worked as an assistant for the club's management. After his two-year-stint with Follo, he moved to the Stuttgarter Kickers in the Regionalliga Süd. Rosen finished his playing career at Hoffenheim, playing his last match in December 2010.


== Management career ==
Rosen started his formal training as a sports business administrator in 2009 while still playing professional football, enrolling at the University of Applied Sciences at Schmalkalden to study sports economics. In November 2010, Rosen became Hoffenheim's development performance centre manager. In April 2013, he was promoted to head of professional football at Hoffenheim. Since October 2013, his official job title has been director of football. Rosen has been frequently praised for Hoffenheim's ability to remain competitive in the Bundesliga despite its relatively small size and budget, relying on successful player development and innovative transfer moves. In July 2022, his contract was extended to 2025.


== Family ==
Rosen is married and has a son. His grandfather, Gerhard Niklasch, was a team captain and the record appearance-maker at BC Augsburg in the Oberliga Süd, the highest league in Germany at the time. Among others, Niklasch played with German football legend Helmut Haller.


== References ==


== External links ==
Alexander Rosen at fussballdaten.de (in German)","Alexander Rosen (born 10 April 1979) is a German football executive and former player who is the director of football for TSG 1899 Hoffenheim.


 == Playing career ==
Rosen made his Bundesliga debut for Eintracht Frankfurt on 20 February 1999 when he came on as a substitute for Frank Gerster in the 86th minute against TSV 1860 München.",Rosen made his Bundesliga debut in 1999.,1
Taxi 5,"Taxi 5 (French: Taxi Cinq) is a 2018 French action comedy film directed by Franck Gastambide.  A sequel to Taxi 4, it is the fifth installment of the Taxi film series and features different characters.


== Plot ==
Sylvain Marot, inspector of the Paris police, is considered one of the best police officers in the French capital, who dreams of serving in the special forces. After it is found out that he slept with the Mayor's wife, he is transferred to the municipal police of Marseille, whose mayor is the former Commissaire Gibert. While chasing a taxi driver, he ends up drowning the patrol car and as a result enters into a skirmish with the city police.
Gibert informs the team about a ""gang of Italians"", who use two powerful Ferrari for committing their crimes, and instructs Marot to arrest them. Due to the local police cars being under-powered, he realizes he won't be able to keep up with a Ferrari. Alain, a colleague of Marot, tells the newcomer about the legendary taxi of Marseille and about the adventures of Daniel and Emilien.
But years have passed: the car is now in Morocco, Emilien has left the police, and Daniel lives in Miami. Sylvain and his team find Daniel's nephew, Eddie Makhlouf, who was the taxi driver he was chasing. Sylvain offers Eddie a deal; find his uncle's taxi, and he will be set free.
Eddie makes a counter-offer, stating that he wishes to be the driver of the taxi when they find it. They find the car, but it turns out that the nephew does not have the talent of his uncle. The next day, they begin operation ""Mafia"", as named by Gibert. As the thieves are escaping, Gibert makes a mistake leading to a car pile-up, one of the victims of which is revealed to be the Minister he had met previously.
Sylvain chases after the thieves, but is still unable to keep up with their cars. Realizing that the car needs more modifications, he ends up leaving the taxi with Eddie's sister, Samia. Sylvain is immediately smitten by her and tries to make a move but is turned down. He goes with Eddie to meet an ""Italian"" Rashid, who informs them about a place where the Italians train - an abandoned racing track. Sylvain and Eddie go there and win the race. One of the robbers, Tony Dog, a former driver for Formula 1, offers Sylvain a job and invites him to a private party.
The entire municipal police team is sent there. Eddie, disguised as a waiter, enters Dog's office and finds the plan for the next robbery - the theft of a diamond ""Cassiopeia"". He shows Sylvain the evidence, but when they hear someone coming, they try to hide in the room. Both overhear the robbers speaking to two corrupt city cops. Because of Eddie's stupidity, they get caught and Eddie ends up revealing everything to one of them. After Sylvain escapes through the window, Eddie is rescued by one of the police officers.
On the day of the robbery, the diamond ""Cassiopeia"" arrives in Marseille by helicopter. Before it can land, the robbers threaten to blow it up using a stolen military drone. After blowing up a couple of police cars as proof, the pilot is forced to fly the helicopter to a yacht. Sylvain and Eddie chase after the helicopter along with the cops.
The corrupt cops are stopped by Eddie's friends while clearing a path for the taxi. The cops commandeer a civilian vehicle, but they eventually get stopped by the municipal police while the robbers continue their pursuit of the taxi. After opening fire on the taxi, Sylvain uses the boost to gain more speed and as a result the taxi is sent flying off a cliff and crashing into the back of the yacht where Rashid has already claimed the diamond from the pilot.
The gang is then arrested, and the diamond is returned. Sylvain heads over to Samia to tell her about the car, when she reveals that it's already over the news. Eddie is shown on television pretending to be a cop while taking credit. He thanks Sylvain and Samia before ending it with a proposal to his girlfriend. In the hospital, Alain, seeing the broken taxi, is upset. Later at a ceremony, everyone involved is awarded.
Sylvain arrives in a Lamborghini confiscated from the Italians, followed by Samia in a new car she had been working on. Both then proceed to race to the airport.


== Cast ==


== Future ==
In an interview with ""50 Minutes Inside"", Franck Gastambide announced that if Taxi 5 pays off well at the box office, then Taxi 6 will be his next job. The film failed at the box office with a budget of €20.39 million, raising only $35 million. Despite this, the director still plans to make the sixth film.In an interview with the Premiere newspaper, Samy Naceri said that he was ready to star in Taxi 6 if Luc Besson ""assembled the old team"", he refused to only appear as a cameo.At the Dinar Film Festival of 2018, Sabrina Ouazani confirmed that the sixth film is still in planning stage, further details are currently unknown.


== References ==


== External links ==
Taxi 5 at IMDb
Taxi 5 at Rotten Tomatoes","Taxi 5 (French: Taxi Cinq) is a 2018 French action comedy film directed by Franck Gastambide.   A sequel to Taxi 4, it is the fifth installment of the Taxi film series and features different characters.


 == Plot ==
Sylvain Marot, inspector of the Paris police, is considered one of the best police officers in the French capital, who dreams of serving in the special forces.",Taxi 5 is a French action comedy film.,1
